PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
EEEL4,"399,00","8,76","2,02","3,255","8,35%",868,"3,30","9,72","-3,90","9,95","9,43","33,48%","36,13%","4,24","10,39%","23,06%","973,17","1.906.490.000,00","0,36","2,31%"
JALL3,"10,34","8,80","2,29","2,191","2,84%",809,"2,78","4,30","-4,69","5,56","3,55","50,96%","24,89%","2,58","25,38%","26,06%","8.246.940,00","1.328.170.000,00","1,32","0,00%"
KLBN4,"4,82","8,97","4,72","1,643","2,94%",644,"3,25","5,01","-1,28","8,88","5,92","32,81%","20,66%","2,49","17,36%","52,61%","3.307.590,00","5.739.570.000,00","5,11","16,54%"
REDE3,"6,42","9,09","3,65",926,"10,29%",563,"7,44","4,41","-1,15","6,89","5,69","21,00%","13,89%","1,35","14,70%","40,20%","32.311,50","3.706.950.000,00","2,48","11,65%"
TGMA3,"15,02","9,17","1,46",984,"5,23%",949,"3,45","8,31","6,90","8,74","7,38","11,84%","10,70%","2,31","14,04%","15,88%","4.801.910,00","680.734.000,00","0,29","-3,54%"
BPAC5,"5,04","9,21","1,55",0,"2,54%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,84%","159.196,00","37.379.700.000,00","0,00","36,32%"
BBDC4,"21,10","9,34","1,39",0,"4,76%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,92%","1.048.260.000,00","147.121.000.000,00","0,00","14,10%"
KLBN11,"25,20","9,38","4,93","1,718","2,81%",673,"3,40","5,24","-1,34","9,10","6,08","32,81%","20,66%","2,49","17,36%","52,61%","147.530.000,00","5.739.570.000,00","5,11","16,54%"
ITUB4,"25,59","9,56","1,74",0,"2,86%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,15%","1.026.480.000,00","144.564.000.000,00","0,00","-33,65%"
SUZB3,"60,61","9,56","5,47","2,014","1,22%",693,"3,66","5,01","-1,18","8,56","6,00","40,23%","21,08%","2,95","17,42%","57,22%","397.713.000,00","15.075.500.000,00","5,28","42,43%"
BRIV4,"8,03","9,65","0,45",0,"7,47%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,66%","17.098,90","1.580.930.000,00","0,00","35,28%"
SLCE3,"48,84","9,77","2,94","1,640","1,95%",806,"8,12","5,78","-2,61","7,15","6,61","28,36%","17,88%","1,33","15,31%","30,13%","92.401.000,00","3.524.750.000,00","0,73","27,25%"
SIMH3,"9,72","9,90","2,31",587,"1,62%",170,"0,50","2,64","-0,44","7,73","5,76","22,25%","9,58%","3,30","11,97%","23,39%","19.831.000,00","3.516.080.000,00","9,78","20,18%"
CARD3,"14,43","9,97","1,76","1,173","3,57%","1,059","24,79","6,94","-10,06","7,18","4,25","16,90%","11,77%","1,17","19,14%","17,65%","3.771.460,00","342.831.000,00","0,30","1,95%"
DIRR3,"10,66","10,02","1,23",900,"6,62%",282,"0,68","4,94","-1,17","5,64","4,87","18,22%","11,75%","5,75","7,13%","12,27%","20.705.900,00","1.299.880.000,00","0,98","21,80%"
GUAR3,"9,28","10,22","0,88",642,"4,74%",320,"1,69","22,61","-12,23","29,86","8,11","2,84%","6,27%","1,45","1,81%","8,60%","18.068.500,00","5.266.780.000,00","0,68","0,87%"
KEPL3,"53,10","10,29","3,45","1,297","20,29%","1,562","12,34","7,81","24,26","7,47","6,55","16,61%","12,61%","1,26","24,84%","33,50%","14.352.300,00","461.630.000,00","0,13","18,00%"
MEGA3,"11,12","10,32","1,43","25,903","0,00%",516,"-887,28","60,80","-1,04","109,72","81,49","42,60%","251,04%","1,00","1,04%","13,89%","30.357.200,00","4.306.250.000,00","1,43","0,00%"
