PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A,SETOR
SULA11,34.25,43.86,1.79,716.0,0.0066,502.0,1.34,-53.55,-11.88,-0.83,-1.81,-0.0134,0.0163,2.24,-0.023799999999999998,0.0409,172832000.0,8135840000.0,0.4,0.0245,Seguros
SULA3,11.8,45.33,1.85,740.0,0.0063,519.0,1.38,-55.34,-12.28,-2.63,-5.7,-0.0134,0.0163,2.24,-0.023799999999999998,0.0409,462000.0,8135840000.0,0.4,0.0245,Seguros
RDNI3,9.3,48.09,0.65,860.0,0.0011,210.0,0.85,25.8,-1.16,55.66,41.8,0.0333,0.031400000000000004,2.03,0.0086,0.013600000000000001,228798.0,624110000.0,0.85,0.16570000000000001,Construção
RADL3,22.4,49.21,7.91,1.534,0.0087,2.504,20.3,27.89,-15.83,28.75,14.57,0.055,0.0317,1.31,0.1233,0.16079999999999997,158678000.0,4677670000.0,0.32,0.1628,Comércio & Distribuição
TOTS3,32.9,55.1,4.8,6.231,0.0091,2.042,9.37,18.69,746.07,17.39,14.02,0.3333,0.1148,1.65,0.16519999999999999,0.08710000000000001,146562000.0,4232930000.0,0.44,0.0913,Serviços
CBEE3,21.0,60.48,1.36,595.0,0.0,311.0,-2.89,5.12,-0.58,10.82,7.19,0.11630000000000001,0.0098,0.69,0.0679,0.0225,3107.22,3712960000.0,1.61,0.11130000000000001,Energia
DMVF3,3.89,99.47,0.23,172.0,0.0,134.0,5.28,2.61,-0.83,2.01,0.89,0.066,0.0017000000000000001,1.1,0.0635,0.0024,413200.0,838138000.0,0.06,0.004,Comércio & Distribuição
APER3,31.22,107.08,1.6,3.232,0.0,895.0,9.81,63.9,-4.79,52.65,19.25,0.0506,0.0298,1.56,0.0169,0.015,1289100.0,296290000.0,0.0,0.1134,Seguros
SQIA3,15.41,116.31,1.7,4.412,0.001,1.087,2.38,45.58,6.01,32.87,14.25,0.0968,0.042800000000000005,6.56,0.04769999999999999,0.0146,18079700.0,798855000.0,0.3,0.2457,Serviços
LWSA3,9.29,12993.8,1.86,7.896,0.0,1.305,3.25,174.04,5.31,120.21,34.77,0.0454,0.0006,3.82,0.013300000000000001,0.0001,146391000.0,2950560000.0,0.04,0.5323,Serviços
