Date,AFLT3,AGRO3,ALUP11,ALUP3,ALUP4,CEEB3,CSRN3,CSRN5,CURY3,EKTR4,EMAE4,EQMA3B,JHSF3,LAVV3,LVTC3,PETR3,PETR4,PLPL3,PSSA3,REDE3,SLCE3,TRPL3,TRPL4,WIZS3
2021-04-08,8.770000457763672,24.149999618530273,26.290000915527344,8.619999885559082,8.619999885559082,39.349998474121094,14.899999618530273,15.149999618530273,9.899999618530273,26.6299991607666,60.0,42.470001220703125,6.800000190734863,7.400000095367432,,23.399999618530273,23.700000762939453,6.739999771118164,23.575000762939453,9.15999984741211,42.081817626953125,30.399999618530273,25.639999389648438,7.71999979019165
2021-04-09,8.670000076293945,24.950000762939453,26.559999465942383,8.869999885559082,8.84000015258789,40.7400016784668,15.430000305175781,15.800000190734863,10.199999809265137,26.6299991607666,60.790000915527344,47.0,6.869999885559082,7.460000038146973,,23.5,23.649999618530273,6.880000114440918,23.81999969482422,9.15999984741211,43.20000076293945,30.200000762939453,25.209999084472656,7.809999942779541
2021-04-12,8.729999542236328,25.549999237060547,26.43000030517578,8.850000381469727,8.680000305175781,39.849998474121094,14.0,14.199999809265137,10.069999694824219,24.5,61.689998626708984,48.97999954223633,6.840000152587891,7.369999885559082,,23.739999771118164,23.889999389648438,7.0,23.725000381469727,9.140000343322754,44.25454330444336,30.010000228881836,25.239999771118164,8.1899995803833
2021-04-13,8.729999542236328,25.25,25.780000686645508,8.680000305175781,8.510000228881836,39.4900016784668,14.350000381469727,14.199999809265137,9.970000267028809,25.479999542236328,60.0,48.9900016784668,6.869999885559082,7.300000190734863,,23.739999771118164,23.969999313354492,6.960000038146973,23.454999923706055,9.109999656677246,43.654544830322266,30.0,25.309999465942383,8.609999656677246
2021-04-14,8.899999618530273,25.700000762939453,25.5,8.40999984741211,8.510000228881836,39.349998474121094,14.350000381469727,14.199999809265137,10.0600004196167,24.399999618530273,61.95000076293945,48.9900016784668,6.909999847412109,7.320000171661377,,24.1200008392334,24.350000381469727,6.860000133514404,23.204999923706055,8.609999656677246,43.436363220214844,29.790000915527344,25.56999969482422,8.460000038146973
2021-04-15,8.979999542236328,26.5,25.729999542236328,8.5,8.550000190734863,38.97999954223633,14.350000381469727,14.449999809265137,10.100000381469727,25.049999237060547,61.95000076293945,48.9900016784668,6.929999828338623,7.730000019073486,,22.920000076293945,23.09000015258789,6.989999771118164,23.1299991607666,8.09000015258789,44.8636360168457,30.34000015258789,25.489999771118164,8.760000228881836
2021-04-16,9.0,27.889999389648438,25.6200008392334,8.470000267028809,8.65999984741211,39.290000915527344,14.489999771118164,14.460000038146973,10.369999885559082,25.0,64.9000015258789,48.9900016784668,7.03000020980835,8.25,,22.649999618530273,22.950000762939453,7.079999923706055,23.395000457763672,8.09000015258789,44.38181686401367,30.549999237060547,26.1200008392334,8.119999885559082
2021-04-19,9.09000015258789,29.700000762939453,25.450000762939453,8.470000267028809,8.510000228881836,39.290000915527344,14.300000190734863,14.800000190734863,10.489999771118164,25.25,66.0,48.9900016784668,7.050000190734863,8.260000228881836,,23.790000915527344,24.280000686645508,7.050000190734863,24.075000762939453,8.050000190734863,45.62727355957031,30.600000381469727,26.100000381469727,8.5
2021-04-20,9.100000381469727,29.850000381469727,25.5,8.5,8.5,39.290000915527344,14.699999809265137,14.800000190734863,10.449999809265137,25.299999237060547,65.11000061035156,48.9900016784668,7.050000190734863,8.329999923706055,,23.200000762939453,23.81999969482422,7.039999961853027,23.899999618530273,8.109999656677246,45.20909118652344,30.8700008392334,26.0,8.729999542236328
2021-04-22,8.84000015258789,30.309999465942383,26.700000762939453,8.630000114440918,8.819999694824219,39.099998474121094,14.800000190734863,15.390000343322754,10.170000076293945,25.5,72.75,48.9900016784668,6.929999828338623,8.390000343322754,,23.209999084472656,23.709999084472656,7.019999980926514,23.514999389648438,8.140000343322754,45.88181686401367,30.6200008392334,25.920000076293945,8.670000076293945
